Group,description,experiment,shock,treatment,treatmentEMA,cultivation,cultivation_day,person,cultivation_media,bile_acids,isolation,DNAconcentration,aliquote
7DUM60Z,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,7,UM,solid,yes,PowerFecal,97.375
7DUMEt,ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,7,UM,solid,no,PowerFecal,77.964
7DUMEtZ,ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,7,UM,solid,yes,PowerFecal,91.325
t14DEt70,ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,14,UM,liquid,no,PowerFecal,28.411
t14DEt70Z,ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,14,UM,liquid,yes,PowerFecal,1.394
t14DTZ30,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,14,TZ,liquid,no,PowerFecal,102.167
t14DTZ30Z,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,14,TZ,liquid,yes,PowerFecal,4.669
t14DTZ60,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,14,TZ,liquid,no,PowerFecal,28.683
t14DTZ60Z,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,14,TZ,liquid,yes,PowerFecal,5.066
t14DTZEt,ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,14,TZ,liquid,no,PowerFecal,15.955
t14DTZEtZ,ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,14,TZ,liquid,yes,PowerFecal,1.661
t14DUM30,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,14,UM,liquid,no,PowerFecal,22.887
t14DUM30Z,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,14,UM,liquid,yes,PowerFecal,1.563
t14DUM60,temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,14,UM,liquid,no,PowerFecal,16.857
t14DUMEt,ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,14,UM,liquid,no,PowerFecal,28.021
t2DEt70,ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,14,UM,liquid,no,PowerFecal,32.142
t2DEt70Z,ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_70,,cultivationLiquid,14,UM,liquid,yes,PowerFecal,1.875
t2DTZ30,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,14,TZ,liquid,no,PowerFecal,22.385
t2DTZ30Z,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,2,TZ,liquid,yes,PowerFecal,5.083
t2DTZ60,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,2,TZ,liquid,no,PowerFecal,48.799
t2DTZ60Z,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,2,TZ,liquid,yes,PowerFecal,3.703
t2DTZEt,ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,2,TZ,liquid,no,PowerFecal,29.792
t2DTZEtZ,ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,2,TZ,liquid,yes,PowerFecal,11.126
t2DUM30,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,2,UM,liquid,no,PowerFecal,46.436
t2DUM30Z,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T30,,cultivationLiquid,2,UM,liquid,yes,PowerFecal,1.19
t2DUM60,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,2,UM,liquid,no,PowerFecal,17.919
t2DUM60Z,temperature&wash&cultivation2daysInLiquidMedia,3,Heat_shock,cult_T60,,cultivationLiquid,2,UM,liquid,yes,PowerFecal,3.042
t2DUMEt,ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,2,UM,liquid,no,PowerFecal,62.486
t2DUMEtZ,ethanol&wash&cultivation2daysInLiquidMedia,3,Ethanol_shock,cult_100,,cultivationLiquid,2,UM,liquid,yes,PowerFecal,7.281
