description,experiment,shock,treatment,cultivation_day,person,cultivation,cultivation_media,bile_acids,CFU
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,7,UM,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,7,TZ,cultivationLiquid,liquid,no,300
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,7,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,7,TZ,cultivationLiquid,liquid,no,300
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,7,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,7,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T60,7,UM,cultivationLiquid,liquid,yes,1
ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,7,UM,cultivationLiquid,liquid,yes,3
ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,7,UM,cultivationLiquid,liquid,no,300
ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,7,TZ,cultivationLiquid,liquid,yes,0
ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_100,7,TZ,cultivationLiquid,liquid,no,0
ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_70,7,UM,cultivationLiquid,liquid,yes,2
ethanol&wash&cultivation7daysInLiquidMedia,3,Ethanol_shock,cult_70,7,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,14,UM,cultivationSolid,solid,no,278
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,14,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,14,TZ,cultivationSolid,solid,no,300
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T30,14,TZ,cultivationSolid,solid,yes,300
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,14,UM,cultivationSolid,solid,no,276
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,14,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,14,TZ,cultivationSolid,solid,no,300
temperature&wash&cultivation14daysOnSolidMedia,3,Heat_shock,cult_T60,14,TZ,cultivationSolid,solid,yes,158
ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,14,UM,cultivationSolid,solid,no,300
ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,14,UM,cultivationSolid,solid,yes,300
ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,14,TZ,cultivationSolid,solid,no,124
ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_100,14,TZ,cultivationSolid,solid,yes,300
ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_70,14,UM,cultivationSolid,solid,no,282
ethanol&wash&cultivation14daysOnSolidMedia,3,Ethanol_shock,cult_70,14,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,14,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,14,UM,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,14,TZ,cultivationLiquid,liquid,no,0
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T30,14,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,14,TZ,cultivationLiquid,liquid,no,0
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,14,TZ,cultivationLiquid,liquid,yes,1
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,14,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation14daysInLiquidMedia,3,Heat_shock,cult_T60,14,UM,cultivationLiquid,liquid,yes,
ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,14,UM,cultivationLiquid,liquid,yes,4
ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,14,UM,cultivationLiquid,liquid,no,300
ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,14,TZ,cultivationLiquid,liquid,yes,0
ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_100,14,TZ,cultivationLiquid,liquid,no,0
ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_70,14,UM,cultivationLiquid,liquid,yes,1
ethanol&wash&cultivation14daysInLiquidMedia,3,Ethanol_shock,cult_70,14,UM,cultivationLiquid,liquid,no,300
